"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16, 2021","7,966.95","7,999.16","8,024.45","7,964.01","-","-0.24%"
"Jul 15, 2021","7,986.45","7,945.20","8,004.08","7,939.35","-","0.59%"
"Jul 14, 2021","7,939.35","7,925.40","7,948.43","7,903.88","-","0.33%"
"Jul 13, 2021","7,913.47","7,883.78","7,926.02","7,866.47","-","0.60%"
"Jul 12, 2021","7,866.47","7,861.13","7,895.03","7,850.29","-","0.18%"
"Jul 09, 2021","7,852.19","7,820.77","7,865.68","7,811.61","-","0.52%"
"Jul 08, 2021","7,811.61","7,814.38","7,847.65","7,809.38","-","0.03%"
"Jul 07, 2021","7,809.38","7,772.90","7,835.91","7,772.90","-","0.22%"
"Jul 06, 2021","7,792.21","7,804.49","7,861.18","7,778.36","-","-0.03%"
"Jul 05, 2021","7,794.21","7,748.55","7,813.86","7,744.67","-","0.62%"
"Jul 02, 2021","7,746.56","7,733.04","7,762.84","7,630.37","-","0.23%"
"Jul 01, 2021","7,728.61","7,841.67","7,862.40","7,722.65","-","-1.39%"
"Jun 30, 2021","7,837.76","7,866.69","7,946.14","7,698.33","-","-0.24%"
"Jun 29, 2021","7,856.64","7,898.30","7,956.01","7,856.64","-","-0.27%"
"Jun 28, 2021","7,877.84","7,855.66","7,903.00","7,809.15","-","0.88%"
"Jun 25, 2021","7,809.15","7,744.04","7,827.64","7,742.14","-","0.87%"
"Jun 23, 2021","7,742.14","7,728.58","7,766.63","7,634.78","-","-0.02%"
"Jun 22, 2021","7,743.71","7,756.25","7,779.58","7,723.34","-","0.22%"
"Jun 21, 2021","7,726.73","7,735.87","7,757.09","7,715.46","-","0.15%"
"Jun 18, 2021","7,715.46","7,669.32","7,720.42","7,659.00","-","0.74%"
"Jun 17, 2021","7,659.00","7,654.63","7,680.55","7,641.19","-","0.23%"
"Jun 16, 2021","7,641.19","7,630.42","7,665.32","7,605.53","-","0.47%"
"Jun 15, 2021","7,605.53","7,590.55","7,622.13","7,582.27","-","0.31%"
"Jun 14, 2021","7,582.27","7,620.51","7,625.85","7,551.91","-","-0.37%"
"Jun 11, 2021","7,610.30","7,604.96","7,629.27","7,567.06","-","0.12%"
"Jun 10, 2021","7,601.16","7,569.70","7,621.13","7,564.26","-","0.49%"
"Jun 09, 2021","7,564.26","7,545.51","7,575.04","7,540.36","-","0.29%"
"Jun 08, 2021","7,542.20","7,598.41","7,600.28","7,535.58","-","-0.65%"
"Jun 07, 2021","7,591.90","7,576.00","7,604.54","7,557.79","-","0.32%"
"Jun 04, 2021","7,567.38","7,533.72","7,586.14","7,516.20","-","0.68%"
"Jun 03, 2021","7,516.20","7,451.61","7,528.81","7,430.06","-","1.07%"
"Jun 02, 2021","7,436.55","7,465.42","7,469.67","7,418.41","-","-0.19%"
"Jun 01, 2021","7,450.54","7,431.81","7,457.35","7,403.44","2.91B","0.64%"
"May 31, 2021","7,403.44","7,367.50","7,414.34","7,333.42","119.56M","0.95%"
"May 28, 2021","7,333.42","7,295.51","7,349.05","7,278.24","147.66M","0.76%"
"May 25, 2021","7,278.24","7,238.14","7,286.44","7,233.58","51.29M","0.62%"
"May 24, 2021","7,233.58","7,230.83","7,250.63","7,182.57","101.03M","0.18%"
"May 21, 2021","7,220.72","7,324.99","7,328.24","7,154.42","234.73M","-1.00%"
"May 20, 2021","7,293.59","7,356.94","7,357.18","7,288.44","116.87M","-0.65%"
"May 19, 2021","7,341.03","7,366.37","7,373.92","7,309.13","143.65M","-0.19%"
"May 18, 2021","7,355.14","7,359.08","7,361.92","7,305.43","139.83M","0.07%"
"May 17, 2021","7,350.14","7,247.56","7,362.75","7,228.23","147.83M","1.69%"
"May 13, 2021","7,228.23","7,147.73","7,233.49","7,147.45","61.40M","0.93%"
"May 12, 2021","7,161.77","7,147.09","7,193.03","7,143.38","94.62M","0.26%"
"May 11, 2021","7,143.38","7,123.43","7,182.21","7,123.43","84.25M","0.11%"
"May 10, 2021","7,135.80","7,244.85","7,246.73","7,130.58","153.30M","-1.47%"
"May 07, 2021","7,242.00","7,188.91","7,255.67","7,186.98","124.76M","0.75%"
"May 06, 2021","7,188.09","7,153.11","7,231.29","7,145.97","85.22M","0.59%"
"May 05, 2021","7,145.97","7,115.16","7,163.95","7,111.45","74.23M","0.49%"
"May 04, 2021","7,111.45","7,227.43","7,235.83","7,111.13","195.47M","-1.44%"
"May 03, 2021","7,215.60","7,202.81","7,236.68","7,194.85","209.54M","0.10%"
"Apr 30, 2021","7,208.20","7,201.98","7,234.62","7,191.95","42.35M","-0.12%"
"Apr 29, 2021","7,216.70","7,267.24","7,296.60","7,192.39","100.14M","-0.32%"
"Apr 28, 2021","7,239.94","7,055.58","7,259.84","7,055.41","107.30M","2.45%"
"Apr 27, 2021","7,066.70","7,171.51","7,232.65","7,063.97","105.69M","-2.29%"
"Apr 23, 2021","7,232.65","7,280.46","7,327.91","7,202.15","103.86M","-1.30%"
"Apr 22, 2021","7,327.91","7,448.29","7,448.29","7,313.32","139.32M","-1.42%"
"Apr 21, 2021","7,433.44","7,328.23","7,456.25","7,316.15","128.81M","1.06%"
"Apr 20, 2021","7,355.11","7,557.23","7,558.29","7,325.80","197.07M","-2.63%"
"Apr 19, 2021","7,553.50","7,607.88","7,612.85","7,541.40","126.77M","-0.62%"
"Apr 16, 2021","7,600.57","7,643.88","7,645.25","7,508.29","142.87M","-0.57%"
"Apr 15, 2021","7,644.38","7,591.90","7,666.01","7,558.28","197.32M","1.14%"
"Apr 12, 2021","7,558.28","7,470.22","7,568.86","7,458.27","87.87M","1.34%"
"Apr 09, 2021","7,458.27","7,430.62","7,527.68","7,412.46","169.24M","0.62%"
"Apr 08, 2021","7,412.46","7,312.72","7,428.09","7,283.11","150.56M","1.40%"
"Apr 07, 2021","7,310.26","7,307.48","7,377.63","7,280.27","97.75M","0.41%"
"Apr 06, 2021","7,280.27","7,224.55","7,299.14","7,216.06","69.18M","0.87%"
"Apr 05, 2021","7,217.83","7,215.01","7,257.00","7,193.28","77.56M","0.34%"
"Apr 01, 2021","7,193.28","7,124.79","7,222.21","7,121.28","86.33M","1.01%"
"Mar 31, 2021","7,121.28","7,108.99","7,127.22","7,089.59","45.14M","0.09%"
"Mar 30, 2021","7,115.12","7,137.71","7,154.88","7,110.06","619.01M","-0.18%"
"Mar 29, 2021","7,127.69","7,114.62","7,148.99","7,095.78","58.14M","0.43%"
"Mar 26, 2021","7,097.39","7,099.22","7,125.70","7,064.05","65.96M","-0.02%"
"Mar 25, 2021","7,099.13","7,169.14","7,201.35","7,081.17","114.20M","-0.51%"
"Mar 24, 2021","7,135.84","6,920.21","7,144.77","6,914.98","67.41M","2.24%"
"Mar 23, 2021","6,979.29","6,994.75","7,002.37","6,912.46","29.67M","0.18%"
"Mar 22, 2021","6,966.71","6,861.29","6,971.55","6,854.32","41.92M","1.64%"
"Mar 19, 2021","6,854.32","6,930.36","6,930.76","6,852.64","52.15M","-1.10%"
"Mar 18, 2021","6,930.76","7,052.94","7,052.94","6,929.13","65.39M","-1.62%"
"Mar 17, 2021","7,044.56","7,145.22","7,151.01","7,044.56","38.86M","-1.06%"
"Mar 16, 2021","7,119.70","7,174.34","7,176.72","7,050.17","83.23M","-0.57%"
"Mar 15, 2021","7,160.41","7,266.83","7,275.77","7,158.10","31.51M","-1.20%"
"Mar 12, 2021","7,247.48","7,234.29","7,304.75","7,212.66","29.32M","0.48%"
"Mar 10, 2021","7,212.66","7,302.03","7,313.33","7,204.71","31.43M","-1.15%"
"Mar 09, 2021","7,296.88","7,381.29","7,467.47","7,279.04","143.89M","-0.29%"
"Mar 08, 2021","7,318.43","7,094.99","7,346.81","7,054.49","92.40M","3.74%"
"Mar 05, 2021","7,054.49","7,024.08","7,086.55","6,944.04","76.96M","0.75%"
"Mar 04, 2021","7,002.04","7,218.93","7,255.52","6,990.33","133.76M","-2.66%"
"Mar 03, 2021","7,193.09","7,330.60","7,343.38","7,141.31","141.04M","-2.05%"
"Mar 02, 2021","7,343.38","7,450.79","7,458.85","7,331.25","66.70M","-1.27%"
"Mar 01, 2021","7,438.13","7,509.73","7,549.46","7,436.07","57.86M","-0.51%"
"Feb 25, 2021","7,476.34","7,401.68","7,504.29","7,371.86","100.96M","1.42%"
"Feb 24, 2021","7,371.86","7,311.68","7,439.23","7,309.38","75.74M","0.58%"
"Feb 23, 2021","7,329.21","7,591.94","7,597.51","7,287.95","134.41M","-3.53%"
"Feb 22, 2021","7,597.51","7,789.46","7,797.94","7,592.33","130.36M","-2.57%"
"Feb 19, 2021","7,797.94","7,784.87","7,821.39","7,687.58","199.50M","0.80%"
"Feb 18, 2021","7,736.36","7,668.92","7,775.67","7,588.34","123.53M","1.95%"
"Feb 17, 2021","7,588.34","7,589.78","7,655.98","7,385.93","113.71M","0.10%"
"Feb 16, 2021","7,580.91","7,891.27","7,907.27","7,554.79","117.42M","-4.13%"
"Feb 15, 2021","7,907.27","8,079.26","8,130.17","7,901.25","134.49M","-0.97%"
"Feb 12, 2021","7,985.00","7,710.98","7,995.62","7,597.81","184.79M","5.10%"
"Feb 11, 2021","7,597.81","7,719.25","7,777.70","7,201.55","198.03M","-1.74%"
"Feb 10, 2021","7,732.43","7,951.29","8,003.98","7,689.05","171.08M","-2.90%"
"Feb 09, 2021","7,963.77","8,123.03","8,123.20","7,853.21","128.82M","-1.84%"
"Feb 08, 2021","8,113.26","8,346.85","8,354.26","8,113.26","142.75M","-1.96%"
"Feb 05, 2021","8,275.37","8,313.50","8,361.40","8,243.01","109.96M","0.37%"
"Feb 03, 2021","8,244.50","8,115.89","8,291.79","7,969.83","182.51M","2.99%"
"Feb 02, 2021","8,005.32","8,590.57","8,623.88","7,837.39","232.83M","-6.56%"
"Feb 01, 2021","8,567.07","8,714.99","8,758.98","8,521.42","868.09M","-1.17%"
"Jan 29, 2021","8,668.07","8,975.73","9,025.82","8,622.53","335.96M","-1.63%"
"Jan 27, 2021","8,812.01","8,763.49","8,865.53","8,665.82","497.39M","1.69%"
"Jan 26, 2021","8,665.82","8,754.88","8,798.38","8,623.05","828.67M","-0.33%"
"Jan 25, 2021","8,694.35","8,570.30","8,729.21","8,463.43","995.57M","2.73%"
"Jan 22, 2021","8,463.43","8,250.12","8,491.00","8,131.25","590.37M","4.09%"
"Jan 21, 2021","8,131.25","7,890.85","8,185.46","7,852.70","377.65M","3.13%"
"Jan 20, 2021","7,884.45","7,783.00","7,900.32","7,672.05","287.96M","0.97%"
"Jan 19, 2021","7,808.97","8,008.00","8,023.14","7,752.06","690.06M","-1.43%"
"Jan 18, 2021","7,922.66","7,905.27","8,020.72","7,734.57","506.32M","2.43%"
"Jan 15, 2021","7,734.57","7,503.65","7,761.65","7,443.23","-","3.91%"
"Jan 13, 2021","7,443.23","7,358.55","7,481.24","7,282.24","401.10M","2.21%"
"Jan 12, 2021","7,282.24","7,238.85","7,312.96","7,203.63","544.96M","1.09%"
"Jan 11, 2021","7,203.63","7,132.81","7,222.65","7,119.53","7.76B","1.18%"
"Jan 08, 2021","7,119.53","7,127.46","7,137.41","7,081.09","612.34M","0.31%"
"Jan 07, 2021","7,097.84","7,061.68","7,114.30","7,036.76","1.04B","0.87%"
"Jan 06, 2021","7,036.76","6,988.95","7,043.30","6,942.12","760.07M","0.83%"
"Jan 05, 2021","6,978.86","6,923.75","7,002.16","6,894.98","434.67M","1.22%"
"Jan 04, 2021","6,894.98","6,797.61","6,911.69","6,774.22","380.20M","1.78%"
